UNIX_TIME,ANGLE_FULL
1591484400,87.69991548889533
1592306100,144.5395423086772
1590274800,87.68549739323883
1589897700,88.14027565115457
1592002800,86.47216756662482
1590264000,87.68549739323883
1589627700,92.99042929120176
1591366500,87.69991548889533
1591331400,87.69991548889533
1591330500,87.69991548889533
1592023500,87.68039753150723
1589481000,0.46643902551310473
1591317900,87.69991548889533
1591747200,87.5450316486759
1590949800,87.69991548889533
1589752800,86.57700508277762
1590063300,87.68549739323883
1590904800,87.69991548889533
1589839200,86.78879076270596
1591799400,87.5450316486759
1592265600,67.96206509567192
1589799600,87.97996981527702
1589509800,32.080539084991145
1589680800,87.49854307926111
1591875900,87.5450316486759
1589493600,0.7391334632040555
1589574600,77.71789101181093
1590338700,87.68549739323883
1591262100,87.69991548889533
1589719500,88.81291399969975
1590228000,87.68549739323883
1589625000,92.99042929120176
1589721300,88.81291399969975
1592409600,179.82047382211908
1590080400,87.68549739323883
1589656500,87.49854307926111
1592162100,86.97807055159741
1591465500,87.69991548889533
1592059500,87.68039753150723
1590074100,87.68549739323883
1589923800,87.53820658146341
1591353000,87.69991548889533
1591552800,87.69991548889533
1591204500,87.69991548889533
1590369300,87.68549739323883
1592251200,67.96206509567192
1590651900,87.79840785947128
1590174000,87.68549739323883
1592283600,67.96206509567192
1591920900,87.20357620736232
1590142500,87.68549739323883
1590078600,87.68549739323883
1591178400,87.69991548889533
1590232500,87.68549739323883
1592212500,86.97807055159741
1589779800,86.87161994692741
1591426800,87.69991548889533
1590553800,87.79840785947128
1592303400,134.77372964827643
1589882400,88.14027565115457
1590077700,87.68549739323883
1589647500,92.99042929120176
1592406900,179.7247100063903
1591604100,87.69991548889533
1589598900,81.2480712701962
1591708500,87.69991548889533
1591450200,87.69991548889533
1590849900,87.69991548889533
1590938100,87.69991548889533
1591414200,87.69991548889533
1591407900,87.69991548889533
1590416100,87.79840785947128
1590820200,87.69991548889533
1590560100,87.79840785947128
1590075900,87.68549739323883
1589660100,87.49854307926111
1590229800,87.68549739323883
